Type of User,Source,Device,Returning Visitor,New Visitor,Google CPC,TripAdvisor,Direct,DFA,Email,Referral,Desktop,Mobile,Tablet,Users,Sessions,No of Pages Visited,No of Transactions,Revenue
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,284,284,984,1,619.12
New Visitor,hoteldelasletras.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,45,45,69,2,618.3
New Visitor,jtri.ch / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,2,2,7,1,611.64
Returning Visitor,172.16.101.151:15871 / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,4,15,1,603.25
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,54,106,438,1,598.5
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,6,6,22,1,595.32
Returning Visitor,TripAdvisor / referral,desktop,1,0,0,1,0,0,0,1,1,0,0,227,324,1265,2,592.88
Returning Visitor,actiecode.nl / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,11,18,74,1,585.9
New Visitor,clubicab.cat / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,3,3,24,1,585.48
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,191,192,547,1,583.2
Returning Visitor,olehotels.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,8,42,1,582.12
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,1182,1183,3471,1,579.2
Returning Visitor,grandhotelmencey.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,1,4,1,569.92
Returning Visitor,olehotels.com / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,55,112,252,2,566.1
New Visitor,grandhotelbudapest.com / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,1,1,36,1,563.65
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,123,188,625,1,553.82
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,706,706,1983,1,543.6
New Visitor,grandhotelmencey.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,46,46,90,1,541.31
New Visitor,grandhotelmencey.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,2,2,9,1,540
Returning Visitor,grandhotelmencey.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,6,9,24,1,526.7
New Visitor,suche.t-online.de / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,526,527,1989,1,510.85
New Visitor,hoteldelasletras.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,5,5,14,1,510.3
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,2427,2430,7579,1,509.5
New Visitor,TripAdvisor / referral,desktop,0,1,0,1,0,0,0,1,1,0,0,354,354,1074,1,490.5
New Visitor,hoteldelasletras.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,339,340,474,1,490.5
Returning Visitor,de.iberostarfuerteventurapalace.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,3,4,10,1,482.99
New Visitor,TripAdvisor / referral,mobile,0,1,0,1,0,0,0,1,0,1,0,11,11,63,1,478.4
Returning Visitor,grandhotelmencey.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,4,10,26,1,477.16
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,288,288,684,1,477
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,6187,6212,17933,1,473.53
Returning Visitor,hoteldelasletras.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,9,11,24,1,468
Returning Visitor,mail.yandex.ru / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,5,11,62,1,460.8
New Visitor,grandhotelmencey.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,13,13,27,1,455
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,104,237,634,1,454.41
Returning Visitor,trivago.fi / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,22,38,107,1,450.1
Returning Visitor,trivago.fr / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,4,4,14,1,436.76
Returning Visitor,facebook.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,3,20,116,1,431.46
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,28,29,86,1,429.78
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,3,3,23,1,429.78
New Visitor,tripadvisor / cpc,desktop,0,1,0,1,0,0,0,0,1,0,0,221,222,384,1,426.08
New Visitor,TripAdvisor / referral,desktop,0,1,0,1,0,0,0,1,1,0,0,367,368,948,1,420.3
Returning Visitor,redirect.viglink.com / referral,desktop,1,0,0,0,1,0,0,1,1,0,0,3,6,19,1,416.92
Returning Visitor,dfa / cpm,tablet,1,0,0,0,0,1,0,0,0,0,1,209,542,1261,1,405
Returning Visitor,olehotels.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,5,12,1,397.29
Returning Visitor,trivago.de / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,10,16,42,1,388.8
New Visitor,hoteldelasletras.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,29,29,60,1,387
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,2,3,15,1,386.19
New Visitor,google / organic,mobile,0,1,0,0,0,0,0,0,0,1,0,1622,1622,8594,1,382.29
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,21,38,134,1,381.9
New Visitor,es.yhs4.search.yahoo.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,4,4,11,1,378
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,339,339,1048,1,373
Returning Visitor,smartredirect.de / referral,desktop,1,0,0,0,1,0,0,1,1,0,0,18,24,140,1,369.36
New Visitor,TripAdvisor / referral,desktop,0,1,0,1,0,0,0,1,1,0,0,154,154,467,1,367.96
Returning Visitor,AutoNewsRegistro / email,desktop,1,0,0,0,0,0,1,0,1,0,0,15,22,101,1,363.2
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,11,191,373,2,356.24
New Visitor,iberostarfuerteventurapalace.com / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,88,89,136,1,354.18
Returning Visitor,iberostarfuerteventurapalace.com / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,25,45,112,1,354.18
Returning Visitor,tripadvisor / cpc,tablet,1,0,0,1,0,0,0,0,0,0,1,42,60,179,1,344.95
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,250,250,816,1,340
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,45,70,214,1,334.8
New Visitor,trivago.de / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,6,6,9,1,333.48
Returning Visitor,congrexprojects.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,1,11,1,333.25
New Visitor,hoteldelasletras.com / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,6,6,11,1,333
New Visitor,trivago.it / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,196,198,287,1,327.04
New Visitor,grandhotelmencey.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,4,4,9,1,319.81
New Visitor,trivago.co.uk / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,764,765,1211,1,300.9
New Visitor,grandhotelmencey.com / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,5,5,12,1,297.5
New Visitor,google / cpc,desktop,0,1,1,0,0,0,0,0,1,0,0,220,221,544,1,296.7
New Visitor,congrexprojects.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,3,3,9,1,293.25
Returning Visitor,insidertravel.nl / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,123,227,757,2,291.16
Returning Visitor,babylon / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,2,3,14,1,285
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,189,189,616,1,271.7
New Visitor,grandhotelmencey.com / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,1,1,4,1,267.75
Returning Visitor,tripadvisor / cpc,desktop,1,0,0,1,0,0,0,0,1,0,0,193,240,550,2,259.33
New Visitor,grandhotelmencey.com / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,80,80,122,1,257.03
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,10,14,46,1,246
Returning Visitor,trivago.co.uk / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,4,10,1,242.25
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,613,913,3381,1,240.84
Returning Visitor,yahoo / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,2,2,31,1,239.28
Returning Visitor,sofort.com / referral,tablet,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,213.95
Returning Visitor,google / organic,mobile,1,0,0,0,0,0,0,0,0,1,0,84,152,680,2,189
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,52,52,118,1,187.2
New Visitor,trivago.fr / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,623,623,1155,1,181.69
Returning Visitor,colectivosvip.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,41,62,298,1,180.16
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,121,160,379,1,172
Returning Visitor,trivago.fr / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,5,5,17,1,169.58
New Visitor,trivago.es / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,935,939,1346,1,168.06
Returning Visitor,trivago.de / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,5,10,21,1,160
Returning Visitor,hoteldelasletras.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,2,3,6,1,155
New Visitor,hoteldelasletras.com / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,10,10,17,1,148.5
Returning Visitor,hoteldelasletras.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,9,10,20,1,148.5
New Visitor,google / cpc,desktop,0,1,1,0,0,0,0,0,1,0,0,231,231,510,1,140
Returning Visitor,olehotels.com / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,124,154,275,1,133.65
New Visitor,trivago.de / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,378,378,641,1,132
New Visitor,tripadvisor / cpc,tablet,0,1,0,1,0,0,0,0,0,0,1,119,119,166,1,112.65
Returning Visitor,bing / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,358,540,1934,1,100.8
Returning Visitor,trivago.it / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,1,5,1,98.8
New Visitor,(direct) / (none),tablet,0,1,0,0,1,0,0,0,0,0,1,12,12,33,1,90
New Visitor,trivago.es / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,420,421,651,1,86.11
New Visitor,trivago.de / referral,mobile,0,1,0,0,0,0,0,1,0,1,0,13,13,19,1,86.11
Returning Visitor,trivago.fr / referral,mobile,1,0,0,0,0,0,0,1,0,1,0,2,2,11,1,81.7
Returning Visitor,tripadvisor / cpc,mobile,1,0,0,1,0,0,0,0,0,1,0,267,347,1584,1,77.5
New Visitor,tunisiadeal.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,21,21,36,1,70
New Visitor,trivago.de / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,12,12,18,1,46.8
